Vulnerability Details Url,Application,Application ID,Release,Release ID,FISMA,STIG39,STIG 4.1,STIG 4.3,STIG 4.11,STIG 5.1,Severity,Category,Kingdom,OWASP 2004,OWASP 2007,OWASP 2010,OWASP 2013,OWASP 2014 Mobile Top 10,OWASP 2017,OWASP 2021,CWE,Package,Location,VulnId,Analysis Type,Description,Status,Line Number,Scan started date,Scan completed date,SIM_Open_Date,Has Comments,Assigned User,Scan Type,Subtype,LocationFull,Has Attachments,PCI 2.0,SANS 2009,SANS 2010,SANS Top 25 2011,WASC242,Is Suppressed,Suppressed By,Scan ID,PCI 3.0,Introduced Date,SDLC Status,Comments,URL,Bug Link,ID,CheckId,Developer Status,Auditor Status,Audited Timestamp,Closed Date,SIM_Closed_Date,Closed Status,SIM_Closed_Status,Instance ID,PCI 3.1,PCI 3.2,Source,Scan Tool,Sink,Days to Fix,Bug Submitted,Microservice,Application type,Project type,Interface type,Sample Application
https://trial.fortify.com//Redirect/Issues/90937472-47aa-4547-b8d9-b9309f16b203,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),High,Access Control: Missing Authorization Check,None,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),http://owasp.sat.agoat,90937472-47aa-4547-b8d9-b9309f16b203,(Not Set),See Tester Notes,New,,4/24/2023,4/24/2023,4/16/2023,FALSE,(Not Set),Dynamic,,http://owasp.sat.agoat,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716395,D90031,Open,Pending Review,,,4/29/2023,Open,CLOSED,c6f52f49-6eef-4072-b21e-3bd4473e2214,(Not Set),(Not Set),<None>,DAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/add5f5c6-e412-41fd-b29f-f1230843dd1c,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Info,Insecure Storage: Insufficient Data Protection,Encapsulation,(Not Set),(Not Set),(Not Set),(Not Set),M2 - Insecure Data Storage,(Not Set),(Not Set),(Not Set),Mobius:  Unencrypted SQLite database,/data/data/owasp.sat.agoat/databases/aGoat,add5f5c6-e412-41fd-b29f-f1230843dd1c,(Not Set),,New,,4/24/2023,4/24/2023,4/20/2023,FALSE,(Not Set),Dynamic,,/data/data/owasp.sat.agoat/databases/aGoat,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716396,M290,Open,Pending Review,,,,Open,OPEN,19d2ee7b-d079-3ff8-8237-615546c1c543,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/b32e781b-4474-4287-9585-6fcd9b4424b4,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Low,Android Misconfiguration: Android Debug BuildConfig,Security Features,(Not Set),(Not Set),(Not Set),(Not Set),M10 - Lack of Binary Protections,(Not Set),(Not Set),(Not Set),Android Debug BuildConfig,owasp/sat/agoat/BuildConfig.java,b32e781b-4474-4287-9585-6fcd9b4424b4,(Not Set),,New,,4/24/2023,4/24/2023,4/14/2023,FALSE,(Not Set),Dynamic,,owasp/sat/agoat/BuildConfig.java,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716397,M493,Open,Pending Review,,,,Open,OPEN,2852ac74-2321-39b9-83a9-ebd20ba99a66,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/983741c2-043d-4076-b5a3-ec4d5e2cfe8d,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Low,Weak Cryptographic Hash: Weak Cryptography,Security Features,(Not Set),(Not Set),(Not Set),(Not Set),M6 - Broken Cryptography,(Not Set),(Not Set),(Not Set),Mobius: Weak Cryptographic Hash,Application Binary,983741c2-043d-4076-b5a3-ec4d5e2cfe8d,(Not Set),,New,,4/24/2023,4/24/2023,4/20/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716398,M148,Open,Pending Review,,,5/1/2023,Open,CLOSED,22cbca41-cebf-30d6-a0cd-b373c781d680,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/d4f11264-6a3e-4ee4-858e-e6a3b4be23ae,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Low,Weak Cryptographic Hash: Weak Cryptography,Security Features,(Not Set),(Not Set),(Not Set),(Not Set),M6 - Broken Cryptography,(Not Set),(Not Set),(Not Set),Mobius: Weak Cryptographic Hash,Application Binary,d4f11264-6a3e-4ee4-858e-e6a3b4be23ae,(Not Set),,New,,4/24/2023,4/24/2023,4/15/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716399,M148,Open,Pending Review,,,4/30/2023,Open,CLOSED,66544af3-672e-3ce8-a395-310f1fca4b44,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/32032ce3-66b2-44f8-a029-44141e33c201,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Info,Insecure Storage: Android Backup Storage,Encapsulation,(Not Set),(Not Set),(Not Set),(Not Set),M2 - Insecure Data Storage,(Not Set),(Not Set),(Not Set),Application opts into the Android Backup infrastructure (Android),Application Binary,32032ce3-66b2-44f8-a029-44141e33c201,(Not Set),,New,,4/24/2023,4/24/2023,4/15/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716400,M329,Open,Pending Review,,,5/3/2023,Open,CLOSED,88c6e174-0388-391f-a1de-e4e94e89a7c0,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/a9ee8062-4c1e-423f-81b2-d5c745bf6f8f,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Low,Insecure Transport,Security Features,(Not Set),(Not Set),(Not Set),(Not Set),M3 - Insufficient Transport Layer Protection,(Not Set),(Not Set),(Not Set),Mobius: HTTP URLs,Application Binary,a9ee8062-4c1e-423f-81b2-d5c745bf6f8f,(Not Set),,New,,4/24/2023,4/24/2023,4/15/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716401,M307,Open,Pending Review,,,,Open,OPEN,9a0af8bf-cfb3-3f85-a042-fff226063e08,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/308f6008-67dd-499f-b4c1-a605b054fca5,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Info,Insecure Storage: Android Data Storage,Encapsulation,(Not Set),(Not Set),(Not Set),(Not Set),M5 - Poor Authorization and Authentication,(Not Set),(Not Set),(Not Set),Mobius: Android Permissions External Storage,Application Binary,308f6008-67dd-499f-b4c1-a605b054fca5,(Not Set),,New,,4/24/2023,4/24/2023,4/21/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716402,M302,Open,Pending Review,,,4/29/2023,Open,CLOSED,9e8b974f-d494-335f-8791-13ae7999cd7e,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/72d59b9b-cd31-414b-b4e6-9661a109bbce,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Medium,Android Bad Practices: Missing Google Play Services Updated Security Provider,Security Features,(Not Set),(Not Set),(Not Set),(Not Set),M3 - Insufficient Transport Layer Protection,(Not Set),(Not Set),(Not Set),Mobius: Android Missing Google Play Services Updated Security Provider,Application Binary,72d59b9b-cd31-414b-b4e6-9661a109bbce,(Not Set),,New,,4/24/2023,4/24/2023,4/22/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716403,M494,Open,Pending Review,,,,Open,OPEN,c9fbdf6e-b70e-3efc-af12-cf7de9b88653,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
https://trial.fortify.com//Redirect/Issues/d7d85230-c324-47a4-ba57-49ef60022c46,AndroGoat,202682,4/21/2019,205852,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),Info,System Information Leak: Internal,Encapsulation,(Not Set),(Not Set),(Not Set),(Not Set),M2 - Insecure Data Storage,(Not Set),(Not Set),(Not Set),Application Has Logging Enabled (Log),Application Binary,d7d85230-c324-47a4-ba57-49ef60022c46,(Not Set),,New,,4/24/2023,4/24/2023,4/15/2023,FALSE,(Not Set),Dynamic,,Application Binary,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),(Not Set),FALSE,,299782,(Not Set),4/24/2023,Production,,,,37716404,M169,Open,Pending Review,,,5/2/2023,Open,CLOSED,f8d1f2a1-718a-3011-aa04-65c920589d81,(Not Set),(Not Set),<None>,MAST,<None>,,FALSE,(Not Set),(Not Set),(Not Set),(Not Set),
